eventID,parentEventID,eventDate,country,locality,sampleSizeValue,sampleSizeUnit,decimalLongitude,decimalLatitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,geodeticDatum
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q015,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1,,ARGENTINA,PTOPIRAMIDES,,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q015,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1,,ARGENTINA,PTOPIRAMIDES,,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL_Q006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_VERTICAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,0.0625,square meter,-64.274401,-42.632535,,,,WGS84
