eventID,parentEventID,eventDate,country,locality,site,reef,Quadrat,decimalLongitude,decimalLatitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,geodeticDatum,photo
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q014,-64.274401,-42.632535,,,,WGS84,IMG_5393 00216.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q015,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q015,-64.274401,-42.632535,,,,WGS84,IMG_5394 00217.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q016,-64.274401,-42.632535,,,,WGS84,IMG_5770 00390.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q017,-64.274401,-42.632535,,,,WGS84,IMG_5778 00394.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q018,-64.274401,-42.632535,,,,WGS84,IMG_5779 00395.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q019,-64.274401,-42.632535,,,,WGS84,IMG_5787 00399.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q020,-64.274401,-42.632535,,,,WGS84,IMG_5788 00400.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1,,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q001,-64.274401,-42.632535,,,,WGS84,IMG_5331 00161.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q002,-64.274401,-42.632535,,,,WGS84,IMG_5332 00162.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q003,-64.274401,-42.632535,,,,WGS84,IMG_5334 00163.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q004,-64.274401,-42.632535,,,,WGS84,IMG_5341 00169.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q005,-64.274401,-42.632535,,,,WGS84,IMG_5342 00170.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q006,-64.274401,-42.632535,,,,WGS84,IMG_5349 00175.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q007,-64.274401,-42.632535,,,,WGS84,IMG_5350 00176.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q008,-64.274401,-42.632535,,,,WGS84,IMG_5357 00183.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q009,-64.274401,-42.632535,,,,WGS84,IMG_5358 00184.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q010,-64.274401,-42.632535,,,,WGS84,IMG_5365 00190.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q011,-64.274401,-42.632535,,,,WGS84,IMG_5366 00191.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q012,-64.274401,-42.632535,,,,WGS84,IMG_5373 00197.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q013,-64.274401,-42.632535,,,,WGS84,IMG_5374 00198.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q014,-64.274401,-42.632535,,,,WGS84,IMG_5381 00204.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q015,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q015,-64.274401,-42.632535,,,,WGS84,IMG_5382 00205.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q016,-64.274401,-42.632535,,,,WGS84,IMG_5389 00212.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q017,-64.274401,-42.632535,,,,WGS84,IMG_5390 00213.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q018,-64.274401,-42.632535,,,,WGS84,IMG_5397 00220.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q019,-64.274401,-42.632535,,,,WGS84,IMG_5398 00221.JPG
