eventID,parentEventID,eventDate,country,locality,site,reef,Quadrat,decimalLongitude,decimalLatitude,minimunDepthinMeters,maximunDepthinMeters,coordinateUncertaintyInMeters,geodeticDatum
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q016,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q017,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q018,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q019,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q020,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1,,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,,,,,,,
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q001,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q001,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q002,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q002,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q003,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q003,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q004,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q004,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q005,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q006,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q007,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q008,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q009,-64.274401,-42.632535,,,,WGS84
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q010,-64.274401,-42.632535,,,,WGS84
