"","Name","Date","region","site","reef.name","reef.area","understory","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CD","Taxa","value","abundance"
"21","IMG_5139 00027.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"22","IMG_5139 00027.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"23","IMG_5145 00033.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"24","IMG_5145 00033.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"25","IMG_5149 00037.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","overhang","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"26","IMG_5149 00037.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","overhang","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"27","IMG_5151 00039.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"28","IMG_5151 00039.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"29","IMG_5152 00040.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"30","IMG_5152 00040.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"31","IMG_5153 00041.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"32","IMG_5153 00041.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"33","IMG_5154 00042.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","overhang","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"34","IMG_5154 00042.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","overhang","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"35","IMG_5164 00052.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"36","IMG_5164 00052.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"37","IMG_5172 00059.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"38","IMG_5172 00059.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"39","IMG_5175 00062.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"40","IMG_5175 00062.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","vertical","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"41","IMG_5177 00064.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
"42","IMG_5177 00064.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","horizontal","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",2,2
"43","IMG_5188 00074.jpg","11/03/2019","GolfoNuevo","Pardelas","Middle_East(WE)","cavefloor","no",45,-42.624056,-64.260222,"medium","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
